,,,Xfinder Recommendations,,,Xfinder Accuracy on Commit/Patch Files,,,,,,,,,Maintainer Accuracy on Commit/Patch Files,,,,,Maintainer Accuracy on Commit/Patch Files,,,
137639,langkamp,widgets\KarbonGradientChooser.cpp, ,rempt fmerz mkruisselbrink ,rempt fmerz girish zander mkruisselbrink staniek zachmann clicea villani sebsauer ,0,0,0,0,,,,,zander zachmann ingwa staniek boud jaham,0,0,0,0,ariya lueck tamponi coolo jpetso adrian roop knight coppens mwoehlke,0,0,0,0
137639,langkamp,tools\KarbonGradientEditStrategy.cpp,mkruisselbrink ,jaham mkruisselbrink zachmann ,rempt fmerz girish zander mkruisselbrink staniek zachmann clicea villani sebsauer ,0,0,0,0,,,,,zander zachmann ingwa staniek boud jaham,0,0,0,0,ariya lueck tamponi coolo jpetso adrian roop knight coppens mwoehlke,0,0,0,0
137639,langkamp,tools\KarbonGradientEditStrategy.cpp,mkruisselbrink ,jaham mkruisselbrink zachmann ,rempt fmerz girish zander mkruisselbrink staniek zachmann clicea villani sebsauer ,0,0,0,0,,,,,zander zachmann ingwa staniek boud jaham,0,0,0,0,ariya lueck tamponi coolo jpetso adrian roop knight coppens mwoehlke,0,0,0,0
137639,langkamp,opengl\kis_opengl_gradient_program.cpp, ,rempt ,rempt fmerz girish zander mkruisselbrink staniek zachmann clicea villani sebsauer ,0,0,0,0,,,,,zander zachmann ingwa staniek boud jaham,0,0,0,0,ariya lueck tamponi coolo jpetso adrian roop knight coppens mwoehlke,0,0,0,0
137639,langkamp,widgets\KarbonGradientItem.cpp, ,rempt fmerz mkruisselbrink ,rempt fmerz girish zander mkruisselbrink staniek zachmann clicea villani sebsauer ,0,0,0,0,,,,,zander zachmann ingwa staniek boud jaham,0,0,0,0,ariya lueck tamponi coolo jpetso adrian roop knight coppens mwoehlke,0,0,0,0
137639,langkamp,widgets\KarbonGradientEditWidget.cpp, ,rempt fmerz mkruisselbrink ,rempt fmerz girish zander mkruisselbrink staniek zachmann clicea villani sebsauer ,0,0,0,0,,,,,zander zachmann ingwa staniek boud jaham,0,0,0,0,ariya lueck tamponi coolo jpetso adrian roop knight coppens mwoehlke,0,0,0,0
137639,langkamp,tools\KarbonGradientEditStrategy.cpp,mkruisselbrink ,jaham mkruisselbrink zachmann ,rempt fmerz girish zander mkruisselbrink staniek zachmann clicea villani sebsauer ,0,0,0,0,,,,,zander zachmann ingwa staniek boud jaham,0,0,0,0,ariya lueck tamponi coolo jpetso adrian roop knight coppens mwoehlke,0,0,0,0
140603,mkruisselbrink,kspread\DependencyManager.cpp, ,nikolaus zander mlaurent ,rempt fmerz girish zander mkruisselbrink staniek zachmann clicea villani sebsauer ,0,0,1,1,,,,,zander zachmann ingwa staniek boud jaham,0,0,0,0,ereslibre roop schmeisser fela nlecureuil dang rempt ducroquet psn zachmann,0,0,0,0
140603,mkruisselbrink,kspread\OdfSavingContext.h,nikolaus ,nikolaus zander mlaurent ,rempt fmerz girish zander mkruisselbrink staniek zachmann clicea villani sebsauer ,0,0,1,1,,,,,zander zachmann ingwa staniek boud jaham,0,0,0,0,ereslibre roop schmeisser fela nlecureuil dang rempt ducroquet psn zachmann,0,0,0,0
140603,mkruisselbrink,commands\LinkCommand.cpp, ,zander sebsauer mkruisselbrink ducroquet girish ,rempt fmerz girish zander mkruisselbrink staniek zachmann clicea villani sebsauer ,0,1,1,1,,,,,zander zachmann ingwa staniek boud jaham,0,0,0,0,ereslibre roop schmeisser fela nlecureuil dang rempt ducroquet psn zachmann,0,0,0,0
140603,mkruisselbrink,kspread\Damages.cpp, ,nikolaus zander mlaurent ,rempt fmerz girish zander mkruisselbrink staniek zachmann clicea villani sebsauer ,0,0,1,1,,,,,zander zachmann ingwa staniek boud jaham,0,0,0,0,ereslibre roop schmeisser fela nlecureuil dang rempt ducroquet psn zachmann,0,0,0,0
140603,mkruisselbrink,kspread\RecalcManager.cpp, ,nikolaus zander mlaurent ,rempt fmerz girish zander mkruisselbrink staniek zachmann clicea villani sebsauer ,0,0,1,1,,,,,zander zachmann ingwa staniek boud jaham,0,0,0,0,ereslibre roop schmeisser fela nlecureuil dang rempt ducroquet psn zachmann,0,0,0,0
140603,mkruisselbrink,msword\tablehandler.cpp, , ,rempt fmerz girish zander mkruisselbrink staniek zachmann clicea villani sebsauer ,0,0,1,1,,,,,zander zachmann ingwa staniek boud jaham,0,0,0,0,ereslibre roop schmeisser fela nlecureuil dang rempt ducroquet psn zachmann,0,0,0,0
140603,mkruisselbrink,opencalc\opencalcstyleexport.h, , ,rempt fmerz girish zander mkruisselbrink staniek zachmann clicea villani sebsauer ,0,0,1,1,,,,,zander zachmann ingwa staniek boud jaham,0,0,0,0,ereslibre roop schmeisser fela nlecureuil dang rempt ducroquet psn zachmann,0,0,0,0
140603,mkruisselbrink,qpro\record.h, , ,rempt fmerz girish zander mkruisselbrink staniek zachmann clicea villani sebsauer ,0,0,1,1,,,,,zander zachmann ingwa staniek boud jaham,0,0,0,0,ereslibre roop schmeisser fela nlecureuil dang rempt ducroquet psn zachmann,0,0,0,0
140603,mkruisselbrink,ui\SheetView.cpp, ,rempt mkruisselbrink danders fmerz fyanardi zander ingwa langkamp berger bjacob ,rempt fmerz girish zander mkruisselbrink staniek zachmann clicea villani sebsauer ,0,1,1,1,,,,,zander zachmann ingwa staniek boud jaham,0,0,0,0,ereslibre roop schmeisser fela nlecureuil dang rempt ducroquet psn zachmann,0,0,0,0
140603,mkruisselbrink,commands\Undo.h, ,zander sebsauer mkruisselbrink ducroquet girish ,rempt fmerz girish zander mkruisselbrink staniek zachmann clicea villani sebsauer ,0,1,1,1,,,,,zander zachmann ingwa staniek boud jaham,0,0,0,0,ereslibre roop schmeisser fela nlecureuil dang rempt ducroquet psn zachmann,0,0,0,0
141536,berger,commands\kis_layer_commands.h, ,zander sebsauer mkruisselbrink ducroquet girish ,rempt fmerz girish zander mkruisselbrink staniek zachmann clicea villani sebsauer ,0,0,0,0,,,,,zander zachmann ingwa staniek boud jaham,0,0,0,0,apaku villani berger pino dmeltzer lukast roop johnflux jlayt fmerz,1,1,1,1
141536,berger,kritacore\krs_paint_layer.cpp, , ,rempt fmerz girish zander mkruisselbrink staniek zachmann clicea villani sebsauer ,0,0,0,0,,,,,zander zachmann ingwa staniek boud jaham,0,0,0,0,apaku villani berger pino dmeltzer lukast roop johnflux jlayt fmerz,1,1,1,1
141536,berger,kra\kis_kra_savexml_visitor.cpp, ,rempt ,rempt fmerz girish zander mkruisselbrink staniek zachmann clicea villani sebsauer ,0,0,0,0,,,,,zander zachmann ingwa staniek boud jaham,0,0,0,0,apaku villani berger pino dmeltzer lukast roop johnflux jlayt fmerz,1,1,1,1
141536,berger,commands\KarbonLayerReorderCommand.cpp, ,zander sebsauer mkruisselbrink ducroquet girish ,rempt fmerz girish zander mkruisselbrink staniek zachmann clicea villani sebsauer ,0,0,0,0,,,,,zander zachmann ingwa staniek boud jaham,0,0,0,0,apaku villani berger pino dmeltzer lukast roop johnflux jlayt fmerz,1,1,1,1
141536,berger,tests\kis_image_test.cpp, ,girish rempt zander sebsauer bjacob ducroquet zachmann berger sengels ,rempt fmerz girish zander mkruisselbrink staniek zachmann clicea villani sebsauer ,0,1,0,1,,,,,zander zachmann ingwa staniek boud jaham,0,0,0,0,apaku villani berger pino dmeltzer lukast roop johnflux jlayt fmerz,1,1,1,1
141536,berger,ui\kis_layer_manager.h, ,rempt mkruisselbrink danders fmerz fyanardi zander ingwa langkamp berger bjacob ,rempt fmerz girish zander mkruisselbrink staniek zachmann clicea villani sebsauer ,0,1,0,1,,,,,zander zachmann ingwa staniek boud jaham,0,0,0,0,apaku villani berger pino dmeltzer lukast roop johnflux jlayt fmerz,1,1,1,1
141536,berger,openrastertk\kis_open_raster_stack_save_visitor.cpp,rempt ,rempt ,rempt fmerz girish zander mkruisselbrink staniek zachmann clicea villani sebsauer ,0,0,0,0,,,,,zander zachmann ingwa staniek boud jaham,0,0,0,0,apaku villani berger pino dmeltzer lukast roop johnflux jlayt fmerz,1,1,1,1
141536,berger,image\kis_colorspace_convert_visitor.cpp, ,rempt bjacob mkruisselbrink sengels ,rempt fmerz girish zander mkruisselbrink staniek zachmann clicea villani sebsauer ,0,0,0,0,,,,,zander zachmann ingwa staniek boud jaham,0,0,0,0,apaku villani berger pino dmeltzer lukast roop johnflux jlayt fmerz,1,1,1,1
141536,berger,dockers\KarbonLayerDocker.cpp, ,zachmann ingwa fmerz zander clicea ,rempt fmerz girish zander mkruisselbrink staniek zachmann clicea villani sebsauer ,0,0,0,0,,,,,zander zachmann ingwa staniek boud jaham,0,0,0,0,apaku villani berger pino dmeltzer lukast roop johnflux jlayt fmerz,1,1,1,1
141536,berger,ui\kis_layermap_visitor.h, ,rempt mkruisselbrink danders fmerz fyanardi zander ingwa langkamp berger bjacob ,rempt fmerz girish zander mkruisselbrink staniek zachmann clicea villani sebsauer ,0,1,0,1,,,,,zander zachmann ingwa staniek boud jaham,0,0,0,0,apaku villani berger pino dmeltzer lukast roop johnflux jlayt fmerz,1,1,1,1
156754,langkamp,flake\KoImageData.cpp, ,staniek zachmann zander mkruisselbrink jaham clicea nikolaus fmerz ,rempt fmerz girish zander mkruisselbrink staniek zachmann clicea villani sebsauer ,0,0,0,0,,,,,zander zachmann ingwa staniek boud jaham,0,0,0,0,boemann pfau lukast rodda langkamp page ariya vkrause scripty ducroquet,1,1,1,1
156754,langkamp,commands\kis_image_commands.h, ,zander sebsauer mkruisselbrink ducroquet girish ,rempt fmerz girish zander mkruisselbrink staniek zachmann clicea villani sebsauer ,0,0,0,0,,,,,zander zachmann ingwa staniek boud jaham,0,0,0,0,boemann pfau lukast rodda langkamp page ariya vkrause scripty ducroquet,1,1,1,1
156754,langkamp,flake\KoImageCollection.cpp, ,staniek zachmann zander mkruisselbrink jaham clicea nikolaus fmerz ,rempt fmerz girish zander mkruisselbrink staniek zachmann clicea villani sebsauer ,0,0,0,0,,,,,zander zachmann ingwa staniek boud jaham,0,0,0,0,boemann pfau lukast rodda langkamp page ariya vkrause scripty ducroquet,1,1,1,1
156754,langkamp,tests\TestImageCollection.cpp, ,girish rempt zander sebsauer bjacob ducroquet zachmann berger sengels ,rempt fmerz girish zander mkruisselbrink staniek zachmann clicea villani sebsauer ,0,0,0,0,,,,,zander zachmann ingwa staniek boud jaham,0,0,0,0,boemann pfau lukast rodda langkamp page ariya vkrause scripty ducroquet,1,1,1,1
156754,langkamp,tests\kis_image_test.cpp, ,girish rempt zander sebsauer bjacob ducroquet zachmann berger sengels ,rempt fmerz girish zander mkruisselbrink staniek zachmann clicea villani sebsauer ,0,0,0,0,,,,,zander zachmann ingwa staniek boud jaham,0,0,0,0,boemann pfau lukast rodda langkamp page ariya vkrause scripty ducroquet,1,1,1,1
156754,langkamp,ui\kis_print_job.cpp, ,rempt mkruisselbrink danders fmerz fyanardi zander ingwa langkamp berger bjacob ,rempt fmerz girish zander mkruisselbrink staniek zachmann clicea villani sebsauer ,0,1,0,1,,,,,zander zachmann ingwa staniek boud jaham,0,0,0,0,boemann pfau lukast rodda langkamp page ariya vkrause scripty ducroquet,1,1,1,1
156754,langkamp,canvas\kis_prescaled_projection.cpp,mkruisselbrink ,rempt mkruisselbrink jsimon bjacob berger ,rempt fmerz girish zander mkruisselbrink staniek zachmann clicea villani sebsauer ,0,0,0,0,,,,,zander zachmann ingwa staniek boud jaham,0,0,0,0,boemann pfau lukast rodda langkamp page ariya vkrause scripty ducroquet,1,1,1,1
156754,langkamp,commands\kis_image_commands.h, ,zander sebsauer mkruisselbrink ducroquet girish ,rempt fmerz girish zander mkruisselbrink staniek zachmann clicea villani sebsauer ,0,0,0,0,,,,,zander zachmann ingwa staniek boud jaham,0,0,0,0,boemann pfau lukast rodda langkamp page ariya vkrause scripty ducroquet,1,1,1,1
156754,langkamp,flake\KoImageData_p.cpp, ,staniek zachmann zander mkruisselbrink jaham clicea nikolaus fmerz ,rempt fmerz girish zander mkruisselbrink staniek zachmann clicea villani sebsauer ,0,0,0,0,,,,,zander zachmann ingwa staniek boud jaham,0,0,0,0,boemann pfau lukast rodda langkamp page ariya vkrause scripty ducroquet,1,1,1,1
156754,langkamp,genericimageexport\genericimageexport.cpp, , ,rempt fmerz girish zander mkruisselbrink staniek zachmann clicea villani sebsauer ,0,0,0,0,,,,,zander zachmann ingwa staniek boud jaham,0,0,0,0,boemann pfau lukast rodda langkamp page ariya vkrause scripty ducroquet,1,1,1,1
162872,berger,pigment\KoColorSpaceAbstract.h,fmerz ,fmerz mkruisselbrink berger ,rempt fmerz girish zander mkruisselbrink staniek zachmann clicea villani sebsauer ,0,1,0,1,,,,,zander zachmann ingwa staniek boud jaham,0,0,0,0,mueller dmeltzer djarvie rodda jriddell hdhoang bcail tokoe bhards ducroquet,0,0,0,0
162872,berger,image\kis_node_filter_interface.h, ,rempt bjacob mkruisselbrink sengels ,rempt fmerz girish zander mkruisselbrink staniek zachmann clicea villani sebsauer ,0,0,0,0,,,,,zander zachmann ingwa staniek boud jaham,0,0,0,0,mueller dmeltzer djarvie rodda jriddell hdhoang bcail tokoe bhards ducroquet,0,0,0,0
162872,berger,main\KoFilterChain.cpp,fmerz ,fmerz staniek villani langkamp berger ,rempt fmerz girish zander mkruisselbrink staniek zachmann clicea villani sebsauer ,0,1,0,1,,,,,zander zachmann ingwa staniek boud jaham,0,0,0,0,mueller dmeltzer djarvie rodda jriddell hdhoang bcail tokoe bhards ducroquet,0,0,0,0
162872,berger,image\kis_filter_mask.cpp, ,rempt bjacob mkruisselbrink sengels ,rempt fmerz girish zander mkruisselbrink staniek zachmann clicea villani sebsauer ,0,0,0,0,,,,,zander zachmann ingwa staniek boud jaham,0,0,0,0,mueller dmeltzer djarvie rodda jriddell hdhoang bcail tokoe bhards ducroquet,0,0,0,0
162872,berger,metadata\kis_meta_data_filter_registry.h, ,rempt ,rempt fmerz girish zander mkruisselbrink staniek zachmann clicea villani sebsauer ,0,0,0,0,,,,,zander zachmann ingwa staniek boud jaham,0,0,0,0,mueller dmeltzer djarvie rodda jriddell hdhoang bcail tokoe bhards ducroquet,0,0,0,0
162872,berger,pigment\KoBasicHistogramProducers.cpp, ,fmerz mkruisselbrink berger ,rempt fmerz girish zander mkruisselbrink staniek zachmann clicea villani sebsauer ,0,1,0,1,,,,,zander zachmann ingwa staniek boud jaham,0,0,0,0,mueller dmeltzer djarvie rodda jriddell hdhoang bcail tokoe bhards ducroquet,0,0,0,0
162872,berger,mswrite\mswriteimport.h, , ,rempt fmerz girish zander mkruisselbrink staniek zachmann clicea villani sebsauer ,0,0,0,0,,,,,zander zachmann ingwa staniek boud jaham,0,0,0,0,mueller dmeltzer djarvie rodda jriddell hdhoang bcail tokoe bhards ducroquet,0,0,0,0
162872,berger,dialogs\kis_dlg_filter.cpp,rempt ,zander girish sebsauer rempt ducroquet mkruisselbrink zachmann ,rempt fmerz girish zander mkruisselbrink staniek zachmann clicea villani sebsauer ,0,0,0,0,,,,,zander zachmann ingwa staniek boud jaham,0,0,0,0,mueller dmeltzer djarvie rodda jriddell hdhoang bcail tokoe bhards ducroquet,0,0,0,0
162872,berger,pigment\KoBasicHistogramProducers.cpp, ,fmerz mkruisselbrink berger ,rempt fmerz girish zander mkruisselbrink staniek zachmann clicea villani sebsauer ,0,1,0,1,,,,,zander zachmann ingwa staniek boud jaham,0,0,0,0,mueller dmeltzer djarvie rodda jriddell hdhoang bcail tokoe bhards ducroquet,0,0,0,0
162872,berger,pigment\KoBasicHistogramProducers.cpp, ,fmerz mkruisselbrink berger ,rempt fmerz girish zander mkruisselbrink staniek zachmann clicea villani sebsauer ,0,1,0,1,,,,,zander zachmann ingwa staniek boud jaham,0,0,0,0,mueller dmeltzer djarvie rodda jriddell hdhoang bcail tokoe bhards ducroquet,0,0,0,0
164688,berger,guiutils\KoCopyController.cpp, ,sebsauer mkruisselbrink fmerz zander ,rempt fmerz girish zander mkruisselbrink staniek zachmann clicea villani sebsauer ,0,0,0,0,,,,,zander zachmann ingwa staniek boud jaham,0,0,0,0,dang chehrlic berger fmerz habacker lunakl jdandres ariya mlaurent astan,1,1,1,1
164688,berger,flake\KoToolSelection.cpp, ,staniek zachmann zander mkruisselbrink jaham clicea nikolaus fmerz ,rempt fmerz girish zander mkruisselbrink staniek zachmann clicea villani sebsauer ,0,0,0,0,,,,,zander zachmann ingwa staniek boud jaham,0,0,0,0,dang chehrlic berger fmerz habacker lunakl jdandres ariya mlaurent astan,1,1,1,1
164688,berger,defaulttool\DefaultTool.cpp,jaham ,jaham ,rempt fmerz girish zander mkruisselbrink staniek zachmann clicea villani sebsauer ,0,0,0,0,,,,,zander zachmann ingwa staniek boud jaham,0,0,0,0,dang chehrlic berger fmerz habacker lunakl jdandres ariya mlaurent astan,1,1,1,1
