16027,darins,V:\eclipse-sourceBuild-srcIncluded-2.0\plugins\org.eclipse.help\src\org\eclipse\help\internal\util\RuntimeHelpStatus.java,dbirsan kkolosow ,othomann jlanneluc cvs pmulet dbaeumer maeschlimann akiezun egamma dejan dbirsan ,cvs dbaeumer akiezun darins darin dejan pmulet vlad othomann maeschlimann ,0,0,1,1
16027,darins,V:\eclipse-sourceBuild-srcIncluded-2.0\plugins\org.eclipse.jdt.debug\jdi\org\eclipse\jdi\internal\jdwp\JdwpReplyPacket.java,darin darins jburns ,darins darin jburns ,cvs dbaeumer akiezun darins darin dejan pmulet vlad othomann maeschlimann ,1,1,1,1
16027,darins,V:\eclipse-sourceBuild-srcIncluded-2.0\plugins\org.eclipse.jdt.core\compiler\org\eclipse\jdt\internal\compiler\DefaultErrorHandlingPolicies.java,pmulet othomann ,pmulet othomann jlanneluc ,cvs dbaeumer akiezun darins darin dejan pmulet vlad othomann maeschlimann ,0,0,1,1
16288,dmegert,V:\eclipse-sourceBuild-srcIncluded-2.0\plugins\org.eclipse.jdt.ui\ui\org\eclipse\jdt\internal\ui\typehierarchy\HistoryDropDownAction.java,maeschlimann ,maeschlimann cvs dbaeumer maeschli dmegert egamma akiezun kmaetzel aweinand cknaus ,cvs dbaeumer akiezun darins darin dejan pmulet vlad othomann maeschlimann ,0,1,0,1
16288,dmegert,V:\eclipse-sourceBuild-srcIncluded-2.0\plugins\org.eclipse.debug.ui\ui\org\eclipse\debug\internal\ui\launchConfigurations\LaunchConfigurationManager.java,darin jszursze jburns ,darin darins jszursze jburns ,cvs dbaeumer akiezun darins darin dejan pmulet vlad othomann maeschlimann ,0,0,0,0
16288,dmegert,V:\eclipse-sourceBuild-srcIncluded-2.0\plugins\org.eclipse.jdt.core\model\org\eclipse\jdt\internal\core\builder\WorkQueue.java,pmulet kjohnson othomann ,pmulet othomann kjohnson jlanneluc ,cvs dbaeumer akiezun darins darin dejan pmulet vlad othomann maeschlimann ,0,0,0,0
16288,dmegert,V:\eclipse-sourceBuild-srcIncluded-2.0\plugins\org.eclipse.ui\Eclipse UI\org\eclipse\ui\internal\EditorHistory.java,,aweinand cvs darins darin egamma dejan maeschlimann vlad kkolosow jburns ,cvs dbaeumer akiezun darins darin dejan pmulet vlad othomann maeschlimann ,0,0,0,0
16288,dmegert,V:\eclipse-sourceBuild-srcIncluded-2.0\plugins\org.eclipse.jdt.ui\ui\org\eclipse\jdt\internal\ui\wizards\buildpaths\ArchiveFileFilter.java,maeschlimann ,maeschli cvs maeschlimann akiezun dmegert cknaus egamma ,cvs dbaeumer akiezun darins darin dejan pmulet vlad othomann maeschlimann ,0,1,0,1
16288,dmegert,V:\eclipse-sourceBuild-srcIncluded-2.0\plugins\org.eclipse.jdt.ui\ui\org\eclipse\jdt\internal\ui\wizards\buildpaths\NewVariableEntryDialog.java,maeschli ,maeschli cvs maeschlimann akiezun dmegert cknaus egamma ,cvs dbaeumer akiezun darins darin dejan pmulet vlad othomann maeschlimann ,0,1,0,1
16288,dmegert,V:\eclipse-sourceBuild-srcIncluded-2.0\plugins\org.eclipse.jdt.ui\ui\org\eclipse\jdt\internal\ui\compare\JavaTokenComparator.java,aweinand cvs ,aweinand cvs dbaeumer dmegert maeschlimann mhuebscher egamma ,cvs dbaeumer akiezun darins darin dejan pmulet vlad othomann maeschlimann ,0,1,0,1
16288,dmegert,V:\eclipse-sourceBuild-srcIncluded-2.0\plugins\org.eclipse.help\src\org\eclipse\help\internal\util\RuntimeHelpStatus.java,dbirsan kkolosow ,othomann jlanneluc cvs pmulet dbaeumer maeschlimann akiezun egamma dejan dbirsan ,cvs dbaeumer akiezun darins darin dejan pmulet vlad othomann maeschlimann ,0,0,0,0
16288,dmegert,V:\eclipse-sourceBuild-srcIncluded-2.0\plugins\org.eclipse.ui\Eclipse UI\org\eclipse\ui\internal\ObjectContributorManager.java,sarsenau tod nick eduardo davids karice kevinh,aweinand cvs darins darin egamma dejan maeschlimann vlad kkolosow jburns ,cvs dbaeumer akiezun darins darin dejan pmulet vlad othomann maeschlimann ,0,0,0,0
16288,dmegert,V:\eclipse-sourceBuild-srcIncluded-2.0\plugins\org.eclipse.ui\Eclipse JFace\org\eclipse\jface\viewers\ListViewer.java,nick tod eduardo karice kevinh,tod nick eduardo karice kevinh ,cvs dbaeumer akiezun darins darin dejan pmulet vlad othomann maeschlimann ,0,0,0,0
17649,darins,V:\eclipse-sourceBuild-srcIncluded-2.0\plugins\org.eclipse.debug.ui\ui\org\eclipse\debug\internal\ui\views\console\ConsoleDocumentManager.java,darins jszursze jburns ,jburns darins jszursze ,cvs dbaeumer akiezun darins darin dejan pmulet vlad othomann maeschlimann ,1,1,1,1
17649,darins,V:\eclipse-sourceBuild-srcIncluded-2.0\plugins\org.eclipse.team.cvs.ui\src\org\eclipse\team\internal\ccvs\ui\Console.java,james mvalenta jlemieux ,darins darin jszursze cvs egamma jburns dbirsan kkolosow dwright rodrigo ,cvs dbaeumer akiezun darins darin dejan pmulet vlad othomann maeschlimann ,0,1,1,1
17649,darins,V:\eclipse-sourceBuild-srcIncluded-2.0\plugins\org.eclipse.debug.ui\ui\org\eclipse\debug\internal\ui\preferences\ConsolePreferencePage.java,darins jburns ,maeschlimann akiezun dejan maeschli cvs dbaeumer vlad darins jburns cknaus ,cvs dbaeumer akiezun darins darin dejan pmulet vlad othomann maeschlimann ,1,1,1,1
17649,darins,V:\eclipse-sourceBuild-srcIncluded-2.0\plugins\org.eclipse.ui.externaltools\External Tools\org\eclipse\ui\externaltools\internal\ui\LogConsoleDocument.java,sarsenau ,darins darin jszursze cvs egamma jburns dbirsan kkolosow dwright rodrigo ,cvs dbaeumer akiezun darins darin dejan pmulet vlad othomann maeschlimann ,0,1,1,1
17649,darins,V:\eclipse-sourceBuild-srcIncluded-2.0\plugins\org.eclipse.ui.externaltools\External Tools\org\eclipse\ui\externaltools\internal\ui\LogConsolePreferencePage.java,sarsenau,darins darin jszursze cvs egamma jburns dbirsan kkolosow dwright rodrigo ,cvs dbaeumer akiezun darins darin dejan pmulet vlad othomann maeschlimann ,0,1,1,1
17649,darins,V:\eclipse-sourceBuild-srcIncluded-2.0\plugins\org.eclipse.debug.ui\ui\org\eclipse\debug\internal\ui\views\console\ConsoleViewEventHandler.java,jburns ,jburns darins jszursze ,cvs dbaeumer akiezun darins darin dejan pmulet vlad othomann maeschlimann ,0,1,1,1
17649,darins,V:\eclipse-sourceBuild-srcIncluded-2.0\plugins\org.eclipse.debug.ui\ui\org\eclipse\debug\internal\ui\views\console\ConsoleViewer.java,jburns darins ,jburns darins jszursze ,cvs dbaeumer akiezun darins darin dejan pmulet vlad othomann maeschlimann ,1,1,1,1
17649,darins,V:\eclipse-sourceBuild-srcIncluded-2.0\plugins\org.eclipse.debug.ui\ui\org\eclipse\debug\internal\ui\views\console\ConsoleView.java,jburns darins jszursze ,jburns darins jszursze ,cvs dbaeumer akiezun darins darin dejan pmulet vlad othomann maeschlimann ,1,1,1,1
17649,darins,V:\eclipse-sourceBuild-srcIncluded-2.0\plugins\org.eclipse.ui.externaltools\Ant Builder\org\eclipse\ui\externaltools\internal\ui\ant\AntBuildLogger.java,sarsenau,rodrigo dj pmulet ,cvs dbaeumer akiezun darins darin dejan pmulet vlad othomann maeschlimann ,0,0,1,1
17649,darins,V:\eclipse-sourceBuild-srcIncluded-2.0\plugins\org.eclipse.ui.externaltools\External Tools\org\eclipse\ui\externaltools\internal\core\ExternalToolsPlugin.java,sarsenau,pmulet othomann darin jlanneluc darins jburns rodrigo jszursze dejan dj ,cvs dbaeumer akiezun darins darin dejan pmulet vlad othomann maeschlimann ,0,1,1,1
19723,darins,V:\eclipse-sourceBuild-srcIncluded-2.0\plugins\org.eclipse.core.resources\src\org\eclipse\core\resources\ResourcesPlugin.java,dj johna jeff ,dj johna rperetti rodrigo jeff maeschlimann akiezun dwilson ,cvs dbaeumer akiezun darins darin dejan pmulet vlad othomann maeschlimann ,0,0,1,1
19723,darin,V:\eclipse-sourceBuild-srcIncluded-2.0\plugins\org.eclipse.core.resources\src\org\eclipse\core\internal\resources\WorkspaceTreeReader_0.java,dj johna rperetti ,dj johna rperetti rodrigo jeff maeschlimann akiezun dwilson ,cvs dbaeumer akiezun darins darin dejan pmulet vlad othomann maeschlimann ,0,0,1,1
19723,darin,V:\eclipse-sourceBuild-srcIncluded-2.0\plugins\org.eclipse.ui\Eclipse UI Text Editor\org\eclipse\ui\editors\text\IEncodingSupport.java,kmaetzel ,cvs kmaetzel dbaeumer dejan cknaus vlad maeschlimann akiezun maeschli aweinand ,cvs dbaeumer akiezun darins darin dejan pmulet vlad othomann maeschlimann ,0,0,1,1
19723,darin,V:\eclipse-sourceBuild-srcIncluded-2.0\plugins\org.eclipse.ui\Eclipse UI Text Editor\org\eclipse\ui\editors\text\DefaultEncodingSupport.java,kmaetzel ,cvs kmaetzel dbaeumer dejan cknaus vlad maeschlimann akiezun maeschli aweinand ,cvs dbaeumer akiezun darins darin dejan pmulet vlad othomann maeschlimann ,0,0,1,1
19723,darin,V:\eclipse-sourceBuild-srcIncluded-2.0\plugins\org.eclipse.core.resources\src\org\eclipse\core\internal\resources\TestingSupport.java,dj ,dj johna rperetti rodrigo jeff maeschlimann akiezun dwilson ,cvs dbaeumer akiezun darins darin dejan pmulet vlad othomann maeschlimann ,0,0,1,1
