step,action,action_type,documents,experiment,total_seconds
339,infer,issue,1,temporal,0.0
340,infer,source,5,temporal,111.0
341,train,online,1,temporal,10.0
342,infer,issue,1,temporal,0.0
343,infer,source,5,temporal,111.0
344,train,online,1,temporal,10.0
345,infer,issue,1,temporal,0.0
346,infer,source,5,temporal,112.0
347,train,online,1,temporal,10.0
348,infer,issue,1,temporal,0.0
349,infer,source,5,temporal,111.0
350,train,online,1,temporal,11.0
351,infer,issue,1,temporal,0.0
352,infer,source,5,temporal,113.0
353,train,online,1,temporal,10.0
354,infer,issue,1,temporal,0.0
355,infer,source,5,temporal,114.0
356,train,online,1,temporal,10.0
357,infer,issue,1,temporal,0.0
358,infer,source,5,temporal,111.0
359,train,online,1,temporal,11.0
360,infer,issue,1,temporal,0.0
361,infer,source,5,temporal,112.0
362,train,online,1,temporal,10.0
363,infer,issue,1,temporal,0.0
364,infer,source,5,temporal,112.0
365,train,online,1,temporal,10.0
366,infer,issue,1,temporal,0.0
367,infer,source,5,temporal,111.0
368,train,online,1,temporal,11.0
369,infer,issue,1,temporal,0.0
370,infer,source,5,temporal,112.0
371,train,online,1,temporal,10.0
372,infer,issue,1,temporal,0.0
373,infer,source,5,temporal,113.0
374,train,online,1,temporal,10.0
375,infer,issue,1,temporal,0.0
376,infer,source,5,temporal,113.0
377,train,online,1,temporal,11.0
378,infer,issue,1,temporal,0.0
379,infer,source,5,temporal,114.0
380,train,online,1,temporal,10.0
381,infer,issue,1,temporal,0.0
382,infer,source,5,temporal,114.0
383,train,online,1,temporal,11.0
384,infer,issue,1,temporal,0.0
385,infer,source,5,temporal,113.0
386,train,online,1,temporal,10.0
387,infer,issue,1,temporal,0.0
388,infer,source,5,temporal,115.0
389,train,online,1,temporal,10.0
390,infer,issue,1,temporal,0.0
391,infer,source,5,temporal,115.0
392,train,online,1,temporal,10.0
393,infer,issue,1,temporal,0.0
394,infer,source,5,temporal,115.0
395,train,online,1,temporal,10.0
396,infer,issue,1,temporal,0.0
397,infer,source,5,temporal,120.0
398,train,online,1,temporal,10.0
399,infer,issue,1,temporal,1.0
400,infer,source,5,temporal,115.0
401,train,online,1,temporal,11.0
402,infer,issue,1,temporal,0.0
403,infer,source,5,temporal,115.0
404,train,online,1,temporal,10.0
405,infer,issue,1,temporal,0.0
406,infer,source,5,temporal,114.0
407,train,online,1,temporal,11.0
408,infer,issue,1,temporal,0.0
409,infer,source,5,temporal,114.0
410,train,online,1,temporal,11.0
411,infer,issue,1,temporal,0.0
412,infer,source,5,temporal,115.0
413,train,online,1,temporal,10.0
414,infer,issue,1,temporal,0.0
415,infer,source,5,temporal,115.0
416,train,online,1,temporal,10.0
417,infer,issue,1,temporal,1.0
418,infer,source,5,temporal,115.0
419,train,online,1,temporal,11.0
420,infer,issue,1,temporal,0.0
421,infer,source,5,temporal,115.0
422,train,online,1,temporal,11.0
423,infer,issue,1,temporal,0.0
424,infer,source,5,temporal,117.0
425,train,online,1,temporal,10.0
426,infer,issue,1,temporal,0.0
427,infer,source,5,temporal,116.0
428,train,online,1,temporal,10.0
429,infer,issue,1,temporal,0.0
430,infer,source,5,temporal,116.0
431,train,online,1,temporal,11.0
432,infer,issue,1,temporal,0.0
433,infer,source,5,temporal,117.0
434,train,online,1,temporal,10.0
435,infer,issue,1,temporal,0.0
436,infer,source,5,temporal,117.0
437,train,online,1,temporal,10.0
438,infer,issue,1,temporal,0.0
439,infer,source,5,temporal,121.0
440,train,online,1,temporal,12.0
441,infer,issue,1,temporal,0.0
442,infer,source,5,temporal,118.0
443,train,online,1,temporal,14.0
444,infer,issue,1,temporal,0.0
445,infer,source,5,temporal,118.0
446,train,online,2,temporal,12.0
447,infer,issue,1,temporal,0.0
448,infer,source,5,temporal,118.0
449,train,online,1,temporal,10.0
450,infer,issue,1,temporal,0.0
451,infer,source,5,temporal,118.0
452,train,online,1,temporal,10.0
453,infer,issue,1,temporal,0.0
454,infer,source,5,temporal,118.0
455,train,online,1,temporal,11.0
456,infer,issue,1,temporal,0.0
457,infer,source,5,temporal,119.0
458,train,online,1,temporal,10.0
459,infer,issue,1,temporal,0.0
460,infer,source,5,temporal,120.0
461,train,online,1,temporal,11.0
462,infer,issue,1,temporal,0.0
463,infer,source,5,temporal,119.0
464,train,online,1,temporal,10.0
465,infer,issue,1,temporal,0.0
466,infer,source,5,temporal,121.0
467,train,online,1,temporal,10.0
468,infer,issue,1,temporal,0.0
469,infer,source,5,temporal,120.0
470,train,online,1,temporal,10.0
471,infer,issue,1,temporal,0.0
472,infer,source,5,temporal,120.0
473,train,online,1,temporal,10.0
474,infer,issue,1,temporal,1.0
475,infer,source,5,temporal,121.0
476,train,online,1,temporal,10.0
477,infer,issue,1,temporal,0.0
478,infer,source,5,temporal,120.0
479,train,online,1,temporal,11.0
480,infer,issue,1,temporal,0.0
481,infer,source,5,temporal,125.0
482,train,online,1,temporal,10.0
483,infer,issue,1,temporal,0.0
484,infer,source,5,temporal,121.0
485,train,online,1,temporal,10.0
486,infer,issue,1,temporal,0.0
487,infer,source,5,temporal,120.0
488,train,online,1,temporal,10.0
489,infer,issue,1,temporal,0.0
490,infer,source,5,temporal,120.0
491,train,online,1,temporal,10.0
492,infer,issue,1,temporal,0.0
493,infer,source,5,temporal,120.0
494,train,online,1,temporal,10.0
495,infer,issue,1,temporal,1.0
496,infer,source,5,temporal,120.0
497,train,online,1,temporal,10.0
498,infer,issue,1,temporal,0.0
499,infer,source,5,temporal,120.0
500,train,online,1,temporal,11.0
501,infer,issue,1,temporal,0.0
502,infer,source,5,temporal,120.0
503,train,online,1,temporal,10.0
504,infer,issue,1,temporal,0.0
505,infer,source,5,temporal,121.0
506,train,online,1,temporal,10.0
507,infer,issue,1,temporal,0.0
508,infer,source,5,temporal,121.0
509,train,online,3,temporal,11.0
510,infer,issue,1,temporal,1.0
511,infer,source,5,temporal,120.0
512,train,online,1,temporal,10.0
513,infer,issue,1,temporal,0.0
514,infer,source,5,temporal,120.0
